"Year","ReportType","Count","TotalReports","SeriousReports","DeathReports"
2009,"Expedited",5544,48467,24868,3506
2009,"BSR",25960,48467,24868,3506
2009,"Direct",10872,48467,24868,3506
2009,"Non-Expedited",6091,48467,24868,3506
2010,"Non-Expedited",23013,99674,51142,7211
2010,"Expedited",15122,99674,51142,7211
2010,"BSR",28366,99674,51142,7211
2010,"Direct",33173,99674,51142,7211
2011,"Direct",16687,85440,43839,6181
2011,"Non-Expedited",31073,85440,43839,6181
2011,"Expedited",14870,85440,43839,6181
2011,"BSR",22810,85440,43839,6181
2012,"BSR",48786,123522,63378,8936
2012,"Direct",25912,123522,63378,8936
2012,"Non-Expedited",22836,123522,63378,8936
2012,"Expedited",25988,123522,63378,8936
2013,"BSR",35329,126829,65075,9175
2013,"Expedited",23392,126829,65075,9175
2013,"Direct",30012,126829,65075,9175
2013,"Non-Expedited",38096,126829,65075,9175
2014,"BSR",56636,141609,72659,10244
2014,"Non-Expedited",31363,141609,72659,10244
2014,"Expedited",11680,141609,72659,10244
2014,"Direct",41930,141609,72659,10244
2015,"BSR",74853,170888,87681,12362
2015,"Direct",24562,170888,87681,12362
2015,"Non-Expedited",32514,170888,87681,12362
2015,"Expedited",38959,170888,87681,12362
2016,"Direct",59688,194270,99679,14054
2016,"BSR",47585,194270,99679,14054
2016,"Non-Expedited",41447,194270,99679,14054
2016,"Expedited",45550,194270,99679,14054
2017,"BSR",87676,248243,127372,17958
2017,"Direct",56013,248243,127372,17958
2017,"Expedited",50672,248243,127372,17958
2017,"Non-Expedited",53882,248243,127372,17958
2018,"BSR",38598,224705,115295,16256
2018,"Direct",75760,224705,115295,16256
2018,"Non-Expedited",70036,224705,115295,16256
2018,"Expedited",40311,224705,115295,16256
2019,"Non-Expedited",43182,240962,123636,17432
2019,"BSR",44532,240962,123636,17432
2019,"Direct",101638,240962,123636,17432
2019,"Expedited",51610,240962,123636,17432
2020,"Direct",93170,277100,142178,20046
2020,"Non-Expedited",41487,277100,142178,20046
2020,"BSR",95508,277100,142178,20046
2020,"Expedited",46935,277100,142178,20046
2021,"BSR",145770,367204,188410,26564
2021,"Direct",105044,367204,188410,26564
2021,"Non-Expedited",83030,367204,188410,26564
2021,"Expedited",33360,367204,188410,26564
2022,"Expedited",31024,243063,124714,17584
2022,"BSR",48384,243063,124714,17584
2022,"Direct",68780,243063,124714,17584
2022,"Non-Expedited",94875,243063,124714,17584
2023,"Non-Expedited",108743,261948,134404,18950
2023,"Expedited",43120,261948,134404,18950
2023,"BSR",65722,261948,134404,18950
2023,"Direct",44363,261948,134404,18950
2024,"Direct",127102,417127,214025,30176
2024,"Non-Expedited",102096,417127,214025,30176
2024,"Expedited",55260,417127,214025,30176
2024,"BSR",132669,417127,214025,30176
